Tracking Lost at: 	(0.0, 0.0, 0.0)	 Orientation:	(0.0, 0.0, 0.0)	 UserID:	0	Time:	0:1.666554
Tracking Lost at: 	(0.0, 0.0, -1.0)	 Orientation:	(0.0, -1.0, 0.0)	 UserID:	1	Time:	0:1.682751
Tracking Lost at: 	(0.0, 0.0, -2.0)	 Orientation:	(0.0, -2.0, 0.0)	 UserID:	2	Time:	0:1.699319
Tracking Lost at: 	(0.0, 0.0, -3.0)	 Orientation:	(0.0, -3.0, 0.0)	 UserID:	3	Time:	0:1.716203
Tracking Lost at: 	(0.0, 0.0, -4.0)	 Orientation:	(0.0, -4.0, 0.0)	 UserID:	4	Time:	0:1.732452
Tracking Lost at: 	(0.0, 0.0, -5.0)	 Orientation:	(0.0, -5.0, 0.0)	 UserID:	5	Time:	0:1.898332
Tracking Lost at: 	(0.0, 0.0, -6.0)	 Orientation:	(0.0, -6.0, 0.0)	 UserID:	6	Time:	0:2.113486
Tracking Lost at: 	(0.0, 0.0, -7.0)	 Orientation:	(0.0, -7.0, 0.0)	 UserID:	7	Time:	0:2.130056
Tracking Lost at: 	(0.0, 0.0, -8.0)	 Orientation:	(0.0, -8.0, 0.0)	 UserID:	8	Time:	0:2.146624
Tracking Lost at: 	(0.0, 0.0, -9.0)	 Orientation:	(0.0, -9.0, 0.0)	 UserID:	9	Time:	0:2.163568
Tracking Lost at: 	(0.0, 0.0, -10.0)	 Orientation:	(0.0, -10.0, 0.0)	 UserID:	10	Time:	0:2.378555
Tracking Lost at: 	(0.0, 0.0, -11.0)	 Orientation:	(0.0, -11.0, 0.0)	 UserID:	11	Time:	0:2.395133
Tracking Lost at: 	(0.0, 0.0, -12.0)	 Orientation:	(0.0, -12.0, 0.0)	 UserID:	12	Time:	0:2.412185
Tracking Lost at: 	(0.0, 0.0, -13.0)	 Orientation:	(0.0, -13.0, 0.0)	 UserID:	13	Time:	0:2.428254
Tracking Lost at: 	(0.0, 0.0, -14.0)	 Orientation:	(0.0, -14.0, 0.0)	 UserID:	14	Time:	0:2.595172
Tracking Lost at: 	(0.0, 0.0, -15.0)	 Orientation:	(0.0, -15.0, 0.0)	 UserID:	15	Time:	0:2.611738
Tracking Lost at: 	(0.0, 0.0, -16.0)	 Orientation:	(0.0, -16.0, 0.0)	 UserID:	16	Time:	0:2.628305
Tracking Lost at: 	(0.0, 0.0, -17.0)	 Orientation:	(0.0, -17.0, 0.0)	 UserID:	17	Time:	0:2.810538
Tracking Lost at: 	(0.0, 0.0, -18.0)	 Orientation:	(0.0, -18.0, 0.0)	 UserID:	18	Time:	0:2.827105
Tracking Lost at: 	(0.0, 0.0, -19.0)	 Orientation:	(0.0, -19.0, 0.0)	 UserID:	19	Time:	0:2.843671
Tracking Lost at: 	(0.0, 0.0, -20.0)	 Orientation:	(0.0, -20.0, 0.0)	 UserID:	20	Time:	0:3.00939
Tracking Lost at: 	(0.0, 0.0, -21.0)	 Orientation:	(0.0, -21.0, 0.0)	 UserID:	21	Time:	0:3.026087
Tracking Lost at: 	(0.0, 0.0, -22.0)	 Orientation:	(0.0, -22.0, 0.0)	 UserID:	22	Time:	0:3.042586
Tracking Lost at: 	(0.0, 0.0, -23.0)	 Orientation:	(0.0, -23.0, 0.0)	 UserID:	23	Time:	0:3.059539
Tracking Lost at: 	(0.0, 0.0, -24.0)	 Orientation:	(0.0, -24.0, 0.0)	 UserID:	24	Time:	0:3.191904
Tracking Lost at: 	(0.0, 0.0, -25.0)	 Orientation:	(0.0, -25.0, 0.0)	 UserID:	25	Time:	0:3.208137
Tracking Lost at: 	(0.0, 0.0, -26.0)	 Orientation:	(0.0, -26.0, 0.0)	 UserID:	26	Time:	0:3.224704
Tracking Lost at: 	(0.0, 0.0, -27.0)	 Orientation:	(0.0, -27.0, 0.0)	 UserID:	27	Time:	0:3.406937
Tracking Lost at: 	(0.0, 0.0, -28.0)	 Orientation:	(0.0, -28.0, 0.0)	 UserID:	28	Time:	0:3.423504
Tracking Lost at: 	(0.0, 0.0, -29.0)	 Orientation:	(0.0, -29.0, 0.0)	 UserID:	29	Time:	0:3.440396
Tracking Lost at: 	(0.0, 0.0, -30.0)	 Orientation:	(0.0, -30.0, 0.0)	 UserID:	30	Time:	0:3.672005
Tracking Lost at: 	(0.0, 0.0, -31.0)	 Orientation:	(0.0, -31.0, 0.0)	 UserID:	31	Time:	0:3.688807
Tracking Lost at: 	(0.0, 0.0, -32.0)	 Orientation:	(0.0, -32.0, 0.0)	 UserID:	32	Time:	0:3.705138
Tracking Lost at: 	(0.0, 0.0, -33.0)	 Orientation:	(0.0, -33.0, 0.0)	 UserID:	33	Time:	0:3.721705
