ply
format ascii 1.D
comment this is my Proccessing file
element vertex 76800
property float x
property float y
property float z
end_header
-0.8544298 -0.61453724 -1.4963241 
-0.86637366 -0.6128595 -1.5172409 
-0.8745235 -0.6082597 -1.5315133 
-0.8828282 -0.60357255 -1.5460569 
-0.8912921 -0.59879553 -1.5608793 
-0.8955852 -0.5910653 -1.5683976 
-0.9042966 -0.5860969 -1.5836536 
-0.9131792 -0.58103096 -1.5992093 
-0.9268352 -0.578735 -1.6231244 
-0.93147844 -0.57059443 -1.6312559 
-0.9361684 -0.56237185 -1.6394691 
-0.950526 -0.55973107 -1.664613 
-0.9554103 -0.5512837 -1.6731666 
-0.9653309 -0.545567 -1.6905402 
-0.9806043 -0.54257673 -1.7172878 
-0.98580337 -0.53376967 -1.7263926 
-0.9910579 -0.5248687 -1.7355946 
-1.0126483 -0.5243012 -1.773405 
-1.0126483 -0.5122993 -1.773405 
-1.0238001 -0.5058069 -1.7929348 
-1.0352004 -0.49917 -1.8128995 
-1.0352004 -0.4869008 -1.8128995 
-1.0587798 -0.48544255 -1.854193 
-1.0648434 -0.47560218 -1.864812 
-1.0771816 -0.4683461 -1.8864192 
-1.0834584 -0.45823404 -1.8974116 
-1.0962343 -0.45064485 -1.9197854 
-1.109315 -0.4428745 -1.942693 
-1.1159731 -0.4323061 -1.9543531 
-1.1227117 -0.42161012 -1.966154 
-1.1364359 -0.4132949 -1.9901886 
-1.1504997 -0.40477386 -2.014818 
-1.164916 -0.39603925 -2.0400646 
-1.1796983 -0.38708302 -2.065952 
-1.1872311 -0.37548357 -2.0791438 
-1.2104174 -0.36847082 -2.119749 
-1.2183489 -0.3564454 -2.133639 
-1.2263849 -0.34426135 -2.1477122 
-1.2511419 -0.33638236 -2.191068 
-1.2596179 -0.32373223 -2.2059116 
-1.2682093 -0.31090948 -2.2209575 
-1.2857491 -0.29997075 -2.251674 
-1.3037808 -0.2887252 -2.283252 
-1.3223252 -0.2771597 -2.3157282 
-1.3317968 -0.26336047 -2.3323152 
-1.3610432 -0.2530128 -2.3835332 
-1.3610432 -0.2368817 -2.3835332 
-1.3812652 -0.22403044 -2.418947 
-1.4020971 -0.21079156 -2.455429 
-1.4127505 -0.19564925 -2.4740858 
-1.4457047 -0.1830785 -2.531797 
-1.4570336 -0.16724439 -2.551637 
-1.4921117 -0.15358627 -2.6130674 
-1.5041828 -0.13700117 -2.634207 
-1.5289204 -0.1211335 -2.6775289 
-1.5415969 -0.103866816 -2.6997287 
-1.5809199 -0.087779164 -2.768593 
-1.594477 -0.069634154 -2.7923353 
-1.6082689 -0.051175255 -2.8164883 
-1.6082689 -0.032114036 -2.8164883 
-1.6082689 -0.013052817 -2.8164883 
-1.594477 0.005956877 -2.7923353 
